frame,t,x,y,v,a,jerk,jounce
235,7.833333333333333,363.0,805.0,5382.188129226625,128307.87867654634,270283.65985628933,4045310.4920804403
236,7.866666666666666,134.0,1137.0,4747.896374973246,163432.78963583565,166456.34359228823,-3146761.2199672824
237,7.8999999999999995,135.0,1133.0,6223.933233107595,139404.96824936554,60499.578525137156,-4034352.823550382
238,7.933333333333334,364.0,844.0,5023.625550477381,167466.0948708448,-102500.51131107062,-11594683.197529783
239,7.966666666666667,363.0,854.0,5234.569887299504,132571.60082862753,-712479.3013101819,-5039479.707514632
240,8.0,501.0,1349.0,4211.0139373667325,119967.47478349933,-438465.82514537935,3218031.1839931956
241,8.033333333333333,364.0,873.0,3188.326307431787,103340.54581893556,-497943.8890439688,2074710.416635807
242,8.066666666666666,373.0,897.0,3012.3013634187737,86771.21551390142,-300151.7973696589,6636140.387201304
243,8.1,378.0,901.0,3027.222470647452,83330.42599429164,-55534.52989721521,4227235.969709085
244,8.133333333333333,392.0,901.0,2978.2065470229873,83068.91352075375,-18336.06605571982,-3624682.792735406
245,8.166666666666666,501.0,1349.0,2986.291691967996,82108.02159057699,-297180.0494129089,-3980665.6989720715
246,8.2,416.0,901.0,3000.0422284511533,63256.91022655983,-283713.7793205246,-298671.36779771064
247,8.233333333333333,431.0,901.0,1663.3073182189387,63193.76963587534,-317091.4739327563,-407438.2864049732
248,8.266666666666666,450.0,901.0,1648.3073182189387,42117.47863104274,-310876.3317475228,8985899.192804053
249,8.3,455.0,901.0,1635.4242093713472,42468.680852707155,281968.47225418064,12978459.612927228
250,8.333333333333334,469.0,901.0,1569.673347292131,60915.37678132144,554354.3091142924,4314884.400221268
251,8.366666666666667,474.0,901.0,2753.4089882612006,79425.63479365998,569627.4322689318,-189507.89931501914
252,8.4,501.0,1349.0,4009.0692641894393,98890.53893258356,541720.4491599577,-695495.966355388
253,8.433333333333334,479.0,912.0,4009.0692641894393,115540.33140432384,523261.0345119059,-8802801.104563743
254,8.466666666666667,479.0,931.0,3803.5539828854753,133774.60790004395,-45132.95781095843,-8376916.592774923
255,8.5,501.0,1349.0,5037.21232190937,112531.46755025993,-35200.07167308895,589596.4395116416
256,8.533333333333333,479.0,950.0,3826.476680940301,131427.93645517138,-5826.5285101823565,-6969504.373664975
257,8.566666666666666,479.0,969.0,3787.661764543587,112143.03231624777,-499833.69658408733,-7139203.116476877
258,8.6,56.0,966.0,3802.661764543587,98105.6900162322,-481773.4029419742,6318055.150605172
259,8.633333333333333,479.0,984.0,3700.8489858777866,80024.8054534495,-78630.01987707577,1651204.4713958364
260,8.666666666666666,479.0,1003.0,2483.4200759867153,92863.68869109382,-371693.1048489184,-4000305.3547865497
261,8.7,479.0,1008.0,3441.986217304765,55245.26513018827,-345317.04352951236,3926450.596481393
262,8.733333333333333,501.0,1349.0,2198.1408577732404,69842.55245579299,-109929.73175015878,93224.3142630968
263,8.766666666666666,464.0,1017.0,2201.2008337924212,47916.616346844356,-339102.08924530586,-5398571.827729774
264,8.8,460.0,1017.0,1248.1046843908384,47235.746506105934,-469834.52026547695,-1820348.2317902748
265,8.833333333333334,454.0,1017.0,1252.6261173372307,16594.314995812554,-460458.6380313242,3801195.675067241
266,8.866666666666667,435.0,1018.0,336.0599760191808,16538.503970684324,-216421.47526099425,3512757.9835180053
267,8.9,425.0,1017.0,390.1135303759122,2166.216645079604,-226274.77246345714,3116062.994128491
268,8.933333333333334,416.0,1018.0,360.0535543567314,1453.5191397871808,-8683.942319094884,3475846.963431356
269,8.966666666666667,396.0,1017.0,348.0535543567314,1587.2871571399446,5448.358431966589,183548.82046799938
270,9.0,388.0,1017.0,363.11602725351725,1816.7430352516199,3552.645712105072,-180066.8189136709
271,9.033333333333333,381.0,1017.0,336.1909804370197,1824.130204613616,-6556.096162278137,7329.9605718074545
272,9.066666666666666,363.0,1017.0,351.1828701956033,1379.6699577664108,4041.3097502255673,4114691.624044397
273,9.1,357.0,1018.0,378.1828701956033,2093.5508546286537,267756.67877401493,7694163.422156368
274,9.133333333333333,343.0,1018.0,345.1828701956033,19230.115209367406,516985.5378939834,7634567.116710025
